행정동 ,위치,기준일자
개봉3동,개봉로3가길 82-4,2023-03-31
개봉3동,개봉로3가길 75,2023-03-31
개봉3동,개봉로3가길 88-24,2023-03-31
개봉3동,개봉로3가길 82-39,2023-03-31
개봉3동,개봉로3가길 88-3,2023-03-31
개봉3동,개봉로1길 154,2023-03-31
개봉3동,개봉로1다길 13-25,2023-03-31
개봉3동,개봉로1라길 10-4,2023-03-31
개봉3동,개봉로1길 106,2023-03-31
개봉3동,개봉로1길 40,2023-03-31
개봉3동,개봉로12길 9-14,2023-03-31
개봉3동,개봉로2길 75,2023-03-31
개봉3동,개봉로1나길 1,2023-03-31
개봉3동,개봉로1길 22,2023-03-31
개봉3동,개봉로10길 27,2023-03-31
개봉3동,개봉로6길 11-2,2023-03-31
개봉3동,개봉로16길 26,2023-03-31
개봉3동,개봉로15길 91,2023-03-31
